,genes_0,genes_1,x,y,cluster
176613,20494.67,21205.143,20905.0,9455.0,725.0
176616,20587.5,21208.877,20899.0,9528.0,725.0
176617,20939.178,22389.898,20898.0,9855.0,223.0
176623,20256.182,22003.047,20901.0,9756.0,237.0
176630,20637.785,21120.371,20902.0,9571.0,725.0
176634,21174.488,20587.861,20904.0,9659.0,725.0
176637,22318.723,20100.877,20918.0,9513.0,731.0
176644,21647.863,20307.012,20904.0,9699.0,725.0
176645,20375.225,21703.379,20909.0,9774.0,148.0
176646,21566.506,20311.748,20895.0,9979.0,156.0
176650,20938.697,22129.756,20911.0,9819.0,157.0
176663,21371.328,20477.002,20912.0,9481.0,725.0
176673,20734.572,21034.473,20916.0,9936.0,158.0
176681,21404.828,20394.123,20908.0,9545.0,725.0
176684,21217.916,20544.94,20927.0,9668.0,725.0
176690,21147.63,20479.19,20925.0,9562.0,725.0
176692,20116.484,22323.75,20924.0,9580.0,237.0
176693,21603.807,20368.084,20920.0,9633.0,725.0
176710,20343.074,21798.75,20931.0,10066.0,237.0
176711,20456.35,21321.887,20927.0,9779.0,725.0
176738,20871.795,20863.842,20931.0,9753.0,725.0
176744,21006.014,22338.002,20933.0,9838.0,223.0
176753,20314.2,21897.158,20940.0,9588.0,237.0
176759,21635.184,20319.932,20945.0,9513.0,725.0
176762,20434.541,21510.314,20944.0,9698.0,725.0
176763,22525.045,20047.822,20936.0,9718.0,122.0
176764,19920.186,22612.965,20944.0,9976.0,159.0
176770,20308.191,21759.88,20945.0,9676.0,237.0
176771,21042.52,22547.137,20950.0,9807.0,160.0
176790,21201.0,20467.957,20948.0,9557.0,725.0
176796,21621.629,20383.258,20942.0,9613.0,725.0
176797,22494.852,20111.355,20963.0,9635.0,122.0
176801,21233.934,20413.807,20955.0,9485.0,725.0
176806,20439.572,21489.31,20951.0,9532.0,725.0
176812,20321.666,21797.414,20962.0,9756.0,237.0
176815,21371.545,20376.041,20963.0,10053.0,725.0
176825,20273.943,22006.826,20959.0,9685.0,237.0
176826,20800.94,20817.344,20958.0,9774.0,725.0
176833,20558.578,21238.246,20966.0,9595.0,725.0
176848,21051.148,20648.55,20980.0,9554.0,725.0
176862,20858.354,20782.283,20972.0,9479.0,725.0
176864,20448.041,21435.281,20975.0,9711.0,725.0
176868,20101.86,22321.352,20977.0,9657.0,237.0
176878,22326.088,20075.393,20994.0,9462.0,731.0
176887,20762.373,21000.748,20969.0,9696.0,725.0
176890,21135.936,20456.002,20976.0,9510.0,725.0
176891,20347.012,21521.15,20980.0,9611.0,725.0
176894,21394.523,20374.25,20977.0,9745.0,725.0
176905,20770.201,20831.658,21003.0,9543.0,725.0
176913,21154.5,20503.883,20975.0,9577.0,725.0
176917,20290.393,21880.2,20986.0,9726.0,237.0
176929,21173.873,20449.086,20995.0,9497.0,725.0
176931,20930.46,20729.295,21013.0,10050.0,161.0
176952,21102.965,20546.543,21007.0,9570.0,725.0
176953,20968.979,22418.805,20999.0,9777.0,223.0
176958,21195.357,20462.582,21001.0,9689.0,725.0
176962,21267.725,20462.863,21006.0,9520.0,725.0
176973,20456.432,21344.363,21002.0,10002.0,725.0
176974,22021.564,20181.441,20996.0,9663.0,725.0
176975,20099.996,22345.75,20998.0,9925.0,237.0
176980,21667.096,20027.67,21008.0,9736.0,154.0
176981,20314.785,21955.219,21009.0,9858.0,237.0
176982,19976.562,22524.504,21011.0,10071.0,199.0
176987,20718.11,21054.443,21005.0,9480.0,725.0
176991,20957.5,20744.86,21016.0,9640.0,725.0
176995,20339.33,21750.746,21013.0,9500.0,237.0
176996,21436.102,20348.852,21005.0,9599.0,725.0
177002,20899.8,22146.867,21014.0,9834.0,157.0
177013,21022.135,22456.826,21019.0,9767.0,223.0
177023,20223.664,22041.363,21016.0,9537.0,237.0
177029,20355.047,22301.25,21022.0,9802.0,162.0
177045,22067.488,20122.44,21032.0,9482.0,725.0
177046,21718.23,20238.209,21030.0,9553.0,725.0
177051,21019.377,20639.938,21032.0,9454.0,725.0
177052,22086.252,20152.297,21034.0,9611.0,725.0
177053,20651.738,20977.78,21028.0,9735.0,163.0
177066,22045.45,19952.088,21027.0,9705.0,164.0
177069,20592.658,21124.662,21041.0,10037.0,165.0
177074,21449.53,20296.809,21028.0,9682.0,725.0
177076,20107.41,22243.484,21035.0,9854.0,237.0
177083,20386.008,21507.012,21036.0,10008.0,725.0
177090,20608.748,21151.713,21037.0,9659.0,725.0
177101,21058.648,20572.78,21053.0,9639.0,725.0
177110,20838.715,20853.596,21049.0,9720.0,725.0
177121,22079.23,20157.533,21049.0,9443.0,725.0
